text,created_at
"When our Country had no debt and built everything from Highways to the Military with CASH, we had a big system of Tariffs. Now we allow other countries to steal our wealth, treasure, and jobs - But no more! The USA is doing great, with unlimited upside into the future!",2019-06-23 14:46:46
Wonderful Church service at Camp David. Thank you!,2019-06-23 14:46:46
"I want to give the Democrats every last chance to quickly negotiate simple changes to Asylum and Loopholes. This will fix the Southern Border, together with the help that Mexico is now giving us. Probably won’t happen, but worth a try. Two weeks and big Deportation begins!",2019-06-23 13:20:39
"I never called the strike against Iran “BACK,” as people are incorrectly reporting, I just stopped it from going forward at this time!",2019-06-23 13:20:39
pic.twitter.com/SSWnX8oQ65,2019-06-23 12:13:26
"At the request of Democrats, I have delayed the Illegal Immigration Removal Process (Deportation) for two weeks to see if the Democrats and Republicans can get together and work out a solution to the Asylum and Loophole problems at the Southern Border. If not, Deportations start!",2019-06-23 12:13:26
"....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!",2019-06-22 22:58:10
"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a short number of years, and existing verification is not acceptable. We are putting major additional Sanctions on Iran on Monday. I look forward to the day that.....",2019-06-22 22:58:10
"I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful both with respect to the huge Dollars coming IN, & on helping to make good Trade Deals. The Dow heading to BEST June in 80 years! Stock Market BEST June in 50 years!",2019-06-22 21:24:47
pic.twitter.com/mUc2KZFZON,2019-06-22 21:24:47
Thank you Jessica!pic.twitter.com/gxNRfFqZCm,
A great book!https://twitter.com/erictrump/status/1140711955252072448 …,
The crowds and the spirit outside the Amway Center waiting for @realDonaldTrump is absolutely incredible! #Orlando #2020 #MakeAmericaGreatAgain!pic.twitter.com/IGTKO7Kh4g,
"This isn’t a campaign, this is a movement! Thank you Orlando - we love you! #Florida #KeepAmericaGreat pic.twitter.com/MAXjaMzWBS",
Looking good. We MUST WIN to KEEP AMERICA GREAT!https://twitter.com/erictrump/status/1141314465188720640 …,
Behind the scenes in #Orlando - what an amazing night! ⁦@DonaldJTrumpJr⁩ ⁦@IvankaTrump⁩pic.twitter.com/DRqicdEFFY,
Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ,
"When people come into our Country illegally, they will be DEPORTED!",
"The people that Ice will apprehend have already been ordered to be deported. This means that they have run from the law and run from the courts. These are people that are supposed to go back to their home country. They broke the law by coming into the country, & now by staying.",
"There is a crisis at our border. Time for Congress to wake up, secure the border, and #DoWhatWeSaid.https://twitter.com/GOPoversight/status/1142089119671160833 …",
